Location,Sample Date,Analyte,Result (Text),Result (Value),Units,Qualifier(s),Detected?,Reporting Limit,x,y
Chemours Outfall 002,2/19/21,PFOA,4.198,4.198,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/23/21,GenX,1230.857,1230.857,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/23/21,PFOS,3.223,3.223,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/23/21,PFOA,2.641,2.641,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/26/21,GenX,307.784,307.784,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/26/21,PFOS,5.502,5.502,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,2/26/21,PFOA,4.22,4.22,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/2/21,GenX,235.725,235.725,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/2/21,PFOS,5.88,5.88,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/2/21,PFOA,4.465,4.465,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/5/21,GenX,207.491,207.491,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/5/21,PFOS,9.659,9.659,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/5/21,PFOA,6.596,6.596,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/9/21,GenX,1274.662,1274.662,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/9/21,PFOS,8.675,8.675,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/9/21,PFOA,6.315,6.315,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/12/21,GenX,266.854,266.854,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/12/21,PFOS,8.497,8.497,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/12/21,PFOA,6.861,6.861,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/16/21,GenX,249.836,249.836,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/16/21,PFOS,8.428,8.428,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/16/21,PFOA,6.565,6.565,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/19/21,GenX,2081.181,2081.181,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/19/21,PFOS,7.369,7.369,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/19/21,PFOA,6.266,6.266,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/23/21,GenX,247.727,247.727,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/23/21,PFOS,5.526,5.526,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/23/21,PFOA,4.125,4.125,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/26/21,GenX,599.271,599.271,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/26/21,PFOS,7.546,7.546,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/26/21,PFOA,5.849,5.849,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/30/21,GenX,248.187,248.187,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/30/21,PFOS,7.72,7.72,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,3/30/21,PFOA,5.612,5.612,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/1/21,GenX,312.251,312.251,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/1/21,PFOS,7.73,7.73,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/1/21,PFOA,5.15,5.15,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/6/21,GenX,131.159,131.159,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/6/21,PFOS,9.383,9.383,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/6/21,PFOA,5.997,5.997,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/9/21,GenX,97.313,97.313,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/9/21,PFOS,7.908,7.908,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/9/21,PFOA,5.045,5.045,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/13/21,GenX,525.15,525.15,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/13/21,PFOS,8.154,8.154,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/13/21,PFOA,5.39,5.39,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/16/21,GenX,86.42,86.42,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/16/21,PFOS,9.123,9.123,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/16/21,PFOA,6.008,6.008,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/20/21,GenX,85.053,85.053,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/20/21,PFOS,9.507,9.507,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/20/21,PFOA,6.004,6.004,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/23/21,GenX,88.986,88.986,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/23/21,PFOS,9.553,9.553,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/23/21,PFOA,6.073,6.073,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/26/21,GenX,331.818,331.818,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/26/21,PFOS,9.66,9.66,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/26/21,PFOA,6.513,6.513,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/29/21,GenX,109.23,109.23,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/29/21,PFOS,8.372,8.372,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,4/29/21,PFOA,5.564,5.564,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/4/21,GenX,135.332,135.332,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/4/21,PFOS,9.711,9.711,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/4/21,PFOA,6.227,6.227,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/7/21,GenX,358.722,358.722,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/7/21,PFOS,10.582,10.582,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/7/21,PFOA,6.44,6.44,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/11/21,GenX,230.418,230.418,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/11/21,PFOS,11.051,11.051,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/11/21,PFOA,7.051,7.051,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/14/21,GenX,298,298,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/14/21,PFOS,14.4,14.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/14/21,PFOA,8.8000002,8.8000002,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/18/21,GenX,170.3,170.3,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/18/21,PFOS,8.8999996,8.8999996,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/18/21,PFOA,7.6999998,7.6999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/21/21,GenX,275,275,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/21/21,PFOS,10.9,10.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/21/21,PFOA,6.5999999,6.5999999,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/24/21,GenX,116.4,116.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/24/21,PFOS,12.6,12.6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/24/21,PFOA,8,8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/27/21,PFOS,10.6,10.6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/27/21,PFOA,7.0999999,7.0999999,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,5/27/21,GenX,124,124,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/1/21,GenX,143,143,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/1/21,PFOS,18.200001,18.200001,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/1/21,PFOA,8.3000002,8.3000002,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/4/21,GenX,1298.9,1298.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/4/21,PFOS,10.8,10.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/4/21,PFOA,8.6999998,8.6999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/8/21,GenX,136.8,136.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/8/21,PFOS,12.1,12.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/8/21,PFOA,7.0999999,7.0999999,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/11/21,GenX,630.59998,630.59998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/11/21,PFOS,10.5,10.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/11/21,PFOA,7.6999998,7.6999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/15/21,GenX,166.8,166.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/15/21,PFOS,9.8000002,9.8000002,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/15/21,PFOA,6.9000001,6.9000001,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/18/21,GenX,55.299999,55.299999,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/18/21,PFOS,8.6999998,8.6999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/18/21,PFOA,6.1999998,6.1999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/22/21,GenX,337.39999,337.39999,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/22/21,PFOS,9.6999998,9.6999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/22/21,PFOA,8.8999996,8.8999996,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/25/21,GenX,193.10001,193.10001,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/25/21,PFOS,12.4,12.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/25/21,PFOA,7.9000001,7.9000001,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/29/21,GenX,147.2,147.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/29/21,PFOS,8.6000004,8.6000004,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,6/29/21,PFOA,6.0999999,6.0999999,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/2/21,GenX,78.300003,78.300003,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/2/21,PFOS,8,8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/2/21,PFOA,5.8000002,5.8000002,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/7/21,GenX,130.39999,130.39999,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/7/21,PFOS,11,11,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/7/21,PFOA,7.1999998,7.1999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/9/21,GenX,260.60001,260.60001,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/9/21,PFOS,9.8999996,9.8999996,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/9/21,PFOA,8.1000004,8.1000004,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/13/21,GenX,92.5,92.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/13/21,PFOS,8.1999998,8.1999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/13/21,PFOA,5,5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/16/21,GenX,93.900002,93.900002,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/16/21,PFOS,8.1999998,8.1999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/16/21,PFOA,7.5,7.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/20/21,GenX,162.2,162.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/20/21,PFOS,8.1999998,8.1999998,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/20/21,PFOA,7.5,7.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/23/21,GenX,104.3,104.3,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/23/21,PFOS,7.5,7.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/23/21,PFOA,5.5,5.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/27/21,GenX,70.300003,70.300003,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/27/21,PFOS,10.8,10.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/27/21,PFOA,7.9000001,7.9000001,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/30/21,GenX,85.7,85.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/30/21,PFOS,10.2,10.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,7/30/21,PFOA,7.1,7.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/3/21,GenX,76.8,76.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/3/21,PFOS,8.5,8.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/3/21,PFOA,5.1,5.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/6/21,GenX,91.9,91.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/6/21,PFOS,10.4,10.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/6/21,PFOA,6.5,6.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/10/21,GenX,117.4,117.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/10/21,PFOS,7.8,7.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/10/21,PFOA,6.9,6.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/13/21,GenX,48.2,48.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/13/21,PFOS,10,10,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/13/21,PFOA,6.8,6.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/17/21,GenX,36.1,36.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/17/21,PFOS,8.5,8.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/17/21,PFOA,7.2,7.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/20/21,GenX,36.4,36.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/20/21,PFOS,9.2,9.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/20/21,PFOA,6.6,6.6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/24/21,GenX,25.9,25.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/24/21,PFOS,8.2,8.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/24/21,PFOA,7.5,7.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/31/21,GenX,30.6,30.6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/31/21,PFOS,9.1,9.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,8/31/21,PFOA,8.9,8.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/3/21,GenX,26.7,26.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/3/21,PFOS,8.2,8.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/3/21,PFOA,9,9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/7/21,GenX,25.3,25.3,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/7/21,PFOS,10.5,10.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/7/21,PFOA,8.3,8.3,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/10/21,GenX,49.7,49.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/10/21,PFOS,11,11,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/10/21,PFOA,8,8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/14/21,GenX,20.9,20.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/14/21,PFOS,11.5,11.5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/14/21,PFOA,8.1,8.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/17/21,GenX,31.9,31.9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/17/21,PFOS,15.3,15.3,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/17/21,PFOA,9,9,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/21/21,GenX,34,34,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/21/21,PFOS,13,13,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/21/21,PFOA,9.1,9.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/24/21,GenX,1000,1000,ng/L,,Y,20,-8775048.738,4141978.055
Chemours Outfall 002,9/24/21,PFOS,10,10,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/24/21,PFOA,19,19,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/28/21,GenX,25,25,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/28/21,PFOS,6.6,6.6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,9/28/21,PFOA,4.8,4.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/1/21,GenX,39,39,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/1/21,PFOS,5.7,5.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/1/21,PFOA,4.2,4.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/5/21,GenX,68,68,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/5/21,PFOS,6.4,6.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/5/21,PFOA,4.7,4.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/8/21,GenX,53,53,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/8/21,PFOS,9.7,9.7,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/8/21,PFOA,6,6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/12/21,GenX,61,61,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/12/21,PFOS,11,11,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/12/21,PFOA,10,10,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/22/21,GenX,100,100,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/22/21,PFOS,7.1,7.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/22/21,PFOA,5,5,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/26/21,GenX,210,210,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/26/21,PFOS,7.6,7.6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/26/21,PFOA,5.1,5.1,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,10/29/21,GenX,500,500,ng/L,,Y,10,-8775048.738,4141978.055
Chemours Outfall 002,10/29/21,PFOS,< 2,2,ng/L,,N,2,-8775048.738,4141978.055
Chemours Outfall 002,10/29/21,PFOA,< 2,2,ng/L,,N,2,-8775048.738,4141978.055
Chemours Outfall 002,11/2/21,GenX,240,240,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/2/21,PFOS,7.8,7.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/2/21,PFOA,5.8,5.8,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/5/21,GenX,190,190,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/5/21,PFOS,10,10,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/5/21,PFOA,8.6,8.6,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/9/21,GenX,210,210,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/9/21,PFOS,9.2,9.2,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/9/21,PFOA,8.4,8.4,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/12/21,GenX,180,180,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/12/21,PFOS,13,13,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/12/21,PFOA,15,15,ng/L,,Y,2,-8775048.738,4141978.055
Chemours Outfall 002,11/16/21,GenX,140,140,ng/L,,Y,2,-8775048.738,4141978.055
